,PRE-FLIP-MLS,POST-FLIP-MLS,PRE-FLIP-SOLD-DATE,POST-FLIP-SOLD-DATE,PRE-SOLD-PRICE,POST-SOLD-PRICE,PROFIT
820,71811571.0,72001644.0,1/11/2016,9/26/2016,229000.0,369000.0,140000
821,72001737.0,72110420.0,10/21/2016,4/6/2017,169575.0,265000.0,95425
822,72001848.0,72087750.0,8/29/2016,2/24/2017,123300.0,220000.0,96700
823,71816446.0,72001930.0,3/10/2016,12/19/2016,807400.0,727400.0,-80000
824,72002054.0,72046977.0,6/10/2016,10/28/2016,141000.0,150000.0,9000
825,72002056.0,72096455.0,8/25/2016,3/15/2017,106000.0,245350.0,139350
826,72002384.0,72261283.0,1/20/2017,1/17/2018,280000.0,440000.0,160000
827,72002685.0,72224425.0,9/20/2016,3/19/2018,94000.0,172900.0,78900
828,72002707.0,72086536.0,7/21/2016,1/30/2017,240000.0,335000.0,95000
829,72002870.0,72241992.0,8/17/2016,2/28/2018,200000.0,375000.0,175000
830,72002934.0,72162250.0,7/15/2016,6/30/2017,259900.0,300000.0,40100
831,72002951.0,72137869.0,9/26/2016,5/11/2017,41000.0,75000.0,34000
832,72003119.0,72071415.0,6/29/2016,12/20/2016,850000.0,915000.0,65000
833,72003166.0,72241436.0,7/21/2016,12/4/2017,572500.0,622000,49500
834,72003215.0,72248420.0,7/5/2016,2/23/2018,367000.0,375000.0,8000
835,72003448.0,72058732.0,7/18/2016,12/13/2016,355000.0,533000.0,178000
836,71915447.0,72003522.0,1/22/2016,7/27/2016,170000.0,365000.0,195000
837,72003565.0,72154757.0,1/24/2017,7/13/2017,125000.0,267000.0,142000
838,72003576.0,72122167.0,10/3/2016,5/19/2017,155000.0,299000.0,144000
839,72003710.0,72142977.0,5/27/2016,5/16/2017,680000.0,665000.0,-15000
840,72003970.0,72115209.0,8/3/2016,3/30/2017,470000.0,512000.0,42000
841,72004073.0,72092483.0,8/22/2016,1/4/2017,425000.0,605000.0,180000
842,72004242.0,72096140.0,8/16/2016,2/17/2017,106000.0,208000.0,102000
843,72004256.0,72208570.0,6/30/2016,11/30/2017,729000.0,854000.0,125000
844,72004370.0,72147485.0,7/29/2016,5/31/2017,300000.0,540000.0,240000
845,72004409.0,72174441.0,6/17/2016,8/17/2017,325000.0,390000.0,65000
846,72004454.0,72062860.0,6/22/2016,11/10/2016,505000.0,610000.0,105000
847,72004482.0,72113099.0,12/12/2016,6/15/2017,220000.0,340500.0,120500
848,72004740.0,72110991.0,8/1/2016,3/29/2017,289000.0,460000.0,171000
849,72004765.0,72092506.0,8/19/2016,1/27/2017,206000.0,340000.0,134000
850,71924561.0,72004814.0,3/7/2016,8/25/2016,148000.0,255000.0,107000
851,71938422.0,72004926.0,1/29/2016,9/26/2016,28500.0,156500.0,128000
852,71930806.0,72004994.0,1/29/2016,7/21/2016,220000.0,390000.0,170000
853,72005021.0,72033095.0,5/18/2016,9/15/2016,190000.0,286000.0,96000
854,71815158.0,72005031.0,2/23/2016,8/8/2016,158000.0,260000.0,102000
855,72005149.0,72269837.0,7/11/2016,3/16/2018,436000.0,485000.0,49000
856,72005475.0,72108134.0,9/16/2016,4/12/2017,157600.0,282000.0,124400
857,72005554.0,72096031.0,10/7/2016,2/23/2017,98500.0,243000.0,144500
858,72005740.0,72105501.0,9/26/2016,4/10/2017,40000.0,165000.0,125000
859,72005880.0,72085490.0,7/29/2016,12/9/2016,207500.0,425000.0,217500
860,72006062.0,72101304.0,9/22/2016,2/24/2017,37000.0,148000.0,111000
861,72006067.0,72233799.0,6/30/2016,3/26/2018,104000.0,455000.0,351000
862,72006135.0,72121926.0,6/28/2016,5/19/2017,895000.0,897000.0,2000
863,71936081.0,72006157.0,1/20/2016,7/18/2016,765000.0,825000.0,60000
864,72006207.0,72258945.0,6/22/2016,1/3/2018,262000.0,289900.0,27900
865,72006227.0,72081801.0,6/21/2016,12/23/2016,150000.0,291500.0,141500
